Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Ariana,180000.0,147.0,Jumia TN,L-TN-00154286,1224.4897959183672,"Ariana, Ariana, Ariana"
Nabeul,65000.0,80.0,Jumia TN,L-TN-00154577,812.5,"NABEUL, Nabeul, Nabeul, Nabeul"
Banlieue Nord,680000.0,270.0,Jumia TN,L-TN-00139478,2518.5185185185187,"Sidi Daoud, La Marsa, Tunis et Banlieue Nord"
Banlieue Nord,950000.0,314.0,Jumia TN,L-TN-00130161,3025.477707006369,"jardins de carthage, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Sousse,95000.0,120.0,Jumia TN,L-TN-00142500,791.6666666666666,"Sidi Abdelhamid, Sidi Abdelhamid, Sousse"
Banlieue Nord,560000.0,116.0,Jumia TN,L-TN-00146879,4827.586206896552,"Zone Touristique de Gammarth, Gammarth, Gammarth, Tunis et Banlieue Nord"
Nabeul,55000.0,60.0,Jumia TN,L-TN-00142596,916.6666666666666,"Hammamet, Hammamet, Hammamet, Nabeul"
Les Berges du Lac,980000.0,230.0,Jumia TN,L-TN-00153540,4260.869565217391,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Ben arous,250000.0,158.0,Jumia TN,L-TN-00147191,1582.2784810126582,"Ezzahra, Ben Arous - Tunis Sud"
Ariana,260000.0,130.0,Jumia TN,L-TN-00113935,2000.0,"Cité Ennasr, Cité Ennasr, Ariana"
Ariana,380000.0,134.0,Jumia TN,L-TN-00127164,2835.820895522388,"Avenue du Maghreb Arabe en face de ""SOUKRA EXPO"", La Soukra, La Soukra, Ariana"
Sousse,198000.0,124.0,Jumia TN,L-TN-00155377,1596.774193548387,"Rue Hassen Ben Said 4051 khezema ouest sousse., Bouhssina, Sousse, Sousse"
Ariana,183000.0,147.0,Jumia TN,L-TN-00148939,1244.8979591836735,"Ariana Ville, Ariana, Ariana, Ariana"
Sousse,130000.0,65.0,Jumia TN,L-TN-00146482,2000.0,"Sousse Corniche, Sousse Corniche, Sousse"
Banlieue Nord,552000.0,230.0,Jumia TN,L-TN-00131348,2400.0,"jardins de carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,250000.0,104.0,Jumia TN,L-TN-00154296,2403.846153846154,"Ariana, Ariana, Ariana"
Sousse,190000.0,116.0,Jumia TN,L-TN-00146709,1637.9310344827586,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Bouhssina, Sousse, Sousse"
Sousse,250000.0,158.0,Jumia TN,L-TN-00112958,1582.2784810126582,"Sahloul, Sahloul, Sousse"
Ben arous,130000.0,80.0,Jumia TN,L-TN-00161916,1625.0,"Ezzahra, Ben Arous - Tunis Sud"
Nabeul,420000.0,120.0,Jumia TN,L-TN-00131273,3500.0,"Hammamet Nord, Hammamet, Nabeul"
Ben arous,252000.0,180.0,Jumia TN,L-TN-00123029,1400.0,"El Mourouj, El Mourouj, Ben Arous - Tunis Sud"
Ariana,175075.0,76.0,Jumia TN,L-TN-00154761,2303.6184210526317,"Cité Ennasr, Cité Ennasr, Ariana"
Banlieue Nord,580000.0,145.0,Jumia TN,L-TN-00120642,4000.0,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Banlieue Nord,500000.0,178.0,Jumia TN,L-TN-00152624,2808.9887640449438,"les jardins de carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,300000.0,191.0,Jumia TN,L-TN-00153888,1570.6806282722514,"Ariana, Ariana, Ariana"
Ariana,419000.0,156.0,Jumia TN,L-TN-00127497,2685.897435897436,"Résidence Les Oeillets, Cité Ennasr, Cité Ennasr, Cité Ennasr, Ariana"
Ariana,89000.0,53.0,Jumia TN,L-TN-00150628,1679.245283018868,"Ariana, Ariana, Ariana"
Ben arous,98000.0,90.0,Jumia TN,L-TN-00141411,1088.888888888889,"Mourouj, El Mourouj, Ben Arous - Tunis Sud"
Sousse,110000.0,87.0,Jumia TN,L-TN-00140966,1264.367816091954,"Sidi Abdelhamid, Sidi Abdelhamid, Sousse"
Ariana,225000.0,105.0,Jumia TN,L-TN-00149771,2142.8571428571427,"La Soukra, La Soukra, Ariana"
Mahdia,395000.0,138.0,Jumia TN,L-TN-00100118,2862.31884057971,"Mahdia, Mahdia"
Sousse,225000.0,108.0,Jumia TN,L-TN-00150727,2083.3333333333335,"Chott Meriem, Akouda, Sousse"
Ariana,387782.0,158.0,Jumia TN,L-TN-00149010,2454.3164556962024,"Lotissement Panorama, Riadh el Andalous, Ariana"
Banlieue Nord,435000.0,196.0,Jumia TN,L-TN-00149476,2219.387755102041,"Menzah 9 C, El Menzah 9, El Menzah 9, Tunis et Banlieue Nord"
Ben arous,130000.0,104.0,Jumia TN,L-TN-00131125,1250.0,"Mornag, Ben Arous - Tunis Sud"
Ariana,320000.0,124.0,Jumia TN,L-TN-00149887,2580.6451612903224,"La Soukra, La Soukra, Ariana"
Ariana,198170.0,111.0,Jumia TN,L-TN-00152738,1785.3153153153153,"borj louzir, Borj Louzir, La Soukra, Ariana"
Sousse,260000.0,137.0,Jumia TN,L-TN-00150568,1897.8102189781023,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sahloul, Sousse, Sousse"
Ariana,308000.0,145.0,Jumia TN,L-TN-00132420,2124.137931034483,"Cité Ennasr, Cité Ennasr, Ariana"
Ariana,340500.0,159.0,Jumia TN,L-TN-00150569,2141.509433962264,"Cité el Ghazela, Cité ghazela, Ariana"
Banlieue Nord,300.0,112.0,Jumia TN,L-TN-00134221,2.6785714285714284,"Les Jardins de Carthage, Tunis et Banlieue Nord"
Nabeul,320000.0,149.0,Jumia TN,L-TN-00145142,2147.6510067114095,"nabeul- afh2, fah2 Nabeul., Nabeul, Nabeul"
Banlieue Nord,880000.0,271.0,Jumia TN,L-TN-00154111,3247.2324723247234,"28 avenue Habib Bourguiba la Marsa, Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Ariana,340000.0,145.0,Jumia TN,L-TN-00123930,2344.8275862068967,"Chotrana 1, La Soukra, Ariana"
Banlieue Nord,210000.0,69.0,Jumia TN,L-TN-00148679,3043.478260869565,"Ain Zaghouan, AIN Zaghouan, Tunis et Banlieue Nord"
Nabeul,158519.0,65.0,Jumia TN,L-TN-00163769,2438.753846153846,"Nabeul, Nabeul, Nabeul"
Banlieue Nord,180000.0,100.0,Jumia TN,L-TN-00102426,1800.0,"Rades, Rades, Tunis et Banlieue Nord"
Ariana,250000.0,105.0,Jumia TN,L-TN-00154210,2380.9523809523807,"Nkhilette, Ariana, Ariana, Ariana"
Ariana,108000.0,60.0,Jumia TN,L-TN-00161302,1800.0,"Chotrana 1, Chotrana 1, Ariana"
Les Berges du Lac,3000.0,76.0,Jumia TN,L-TN-00125998,39.473684210526315,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Banlieue Nord,400000.0,152.0,Jumia TN,L-TN-00150373,2631.5789473684213,"Lotissement les Résidences Du Parc, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,250000.0,104.0,Jumia TN,L-TN-00149250,2403.846153846154,"à Cité Nkhilette Ariana, Ariana, Ariana, Ariana"
Nabeul,145000.0,90.0,Jumia TN,L-TN-00161512,1611.111111111111,"Hammamet Sud, Hammamet, Nabeul"
Ariana,170000.0,147.0,Jumia TN,L-TN-00154417,1156.4625850340135,"Nkhilette, Ariana, Ariana, Ariana"
Nabeul,350000.0,124.0,Jumia TN,L-TN-00161769,2822.5806451612902,"Nabeul, Nabeul"
Ariana,175000.0,60.0,Jumia TN,L-TN-00104851,2916.6666666666665,"Jardins d'el Menzah, Mnihla, Ariana"
Ariana,260000.0,200.0,Jumia TN,L-TN-00153998,1300.0,"Ariana, Ariana"
Banlieue Nord,385000.0,145.0,Jumia TN,L-TN-00136418,2655.1724137931033,"Sidi Daoued - La Marsa, Sidi Daoud, La Marsa, Tunis et Banlieue Nord"
Banlieue Nord,340000.0,180.0,Jumia TN,L-TN-00154107,1888.888888888889,"28 avenue Habib Bourguiba la Marsa, La Soukra, La Soukra, Ariana"
Ariana,159000.0,70.0,Jumia TN,L-TN-00155172,2271.4285714285716,"La Soukra, La Soukra, Ariana"
Les Berges du Lac,800000.0,272.0,Jumia TN,L-TN-00134307,2941.176470588235,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Sousse,340000.0,230.0,Jumia TN,L-TN-00138642,1478.2608695652175,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Hergla, Hergla, Sousse"
Sousse,270000.0,128.0,Jumia TN,L-TN-00122318,2109.375,"cité de la plage, Cité de la Plage, Hammam Sousse, Sousse"
Les Berges du Lac,810000.0,148.0,Jumia TN,L-TN-00124230,5472.972972972973,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Banlieue Nord,413000.0,153.0,Jumia TN,L-TN-00161425,2699.346405228758,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Ben arous,150000.0,117.0,Jumia TN,L-TN-00126303,1282.051282051282,"Rades, Rades, Ben Arous - Tunis Sud"
Banlieue Nord,240000.0,85.0,Jumia TN,L-TN-00146320,2823.529411764706,"Ain Zaghouan Nord, Ain Zaghouan Nord, AIN Zaghouan, Tunis et Banlieue Nord"
Ariana,260000.0,122.0,Jumia TN,L-TN-00145914,2131.1475409836066,"La Soukra, La Soukra, Ariana"
Banlieue Nord,1050000.0,400.0,Jumia TN,L-TN-00148780,2625.0,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Bizerte,230000.0,121.0,Jumia TN,L-TN-00152878,1900.8264462809918,"ain mariem, Bizerte, Bizerte"
Banlieue Nord,2500.0,235.0,Jumia TN,L-TN-00146602,10.638297872340425,"ENNASR 2, ENNASR 2, Tunis et Banlieue Nord"
Ben arous,160000.0,103.0,Jumia TN,L-TN-00128165,1553.3980582524273,"Borj Cedria, Borj Cédria, Ben Arous - Tunis Sud"
Ariana,275000.0,136.0,Jumia TN,L-TN-00152563,2022.0588235294117,"La Soukra, La Soukra, Ariana"
Ariana,190000.0,112.0,Jumia TN,L-TN-00125283,1696.4285714285713,"Cité el Ghazela, Cité ghazela, Ariana"
Ariana,183000.0,147.0,Jumia TN,L-TN-00152618,1244.8979591836735,"Ariana, Ariana, Ariana, Ariana"
Banlieue Nord,395000.0,138.0,Jumia TN,L-TN-00150385,2862.31884057971,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Banlieue Nord,435000.0,162.0,Jumia TN,L-TN-00108958,2685.185185185185,"AIN Zaghouan, Tunis et Banlieue Nord"
Sousse,350000.0,250.0,Jumia TN,L-TN-00135376,1400.0,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Hergla, Hergla, Sousse"
Ariana,335000.0,140.0,Jumia TN,L-TN-00152815,2392.8571428571427,"La Soukra, La Soukra, Ariana"
Sousse,280000.0,220.0,Jumia TN,L-TN-00146444,1272.7272727272727,"Khezama EST, Khezama, Khezama, Sousse"
Nabeul,380000.0,107.0,Jumia TN,L-TN-00155937,3551.4018691588785,"Yasmine Hammamet, Hammamet, Nabeul"
Nabeul,240000.0,157.0,Jumia TN,L-TN-00161594,1528.6624203821657,"Nabeul, Nabeul"
Ariana,328960.0,132.0,Jumia TN,L-TN-00132418,2492.121212121212,"Cité Ennasr, Cité Ennasr, Ariana"
Banlieue Nord,450000.0,159.0,Jumia TN,L-TN-00087871,2830.188679245283,"Prés de Carrefour, Sidi Bousaid, Sidi Bou Said, Tunis et Banlieue Nord"
Ariana,288418.0,125.0,Jumia TN,L-TN-00152524,2307.344,"Chotrana 1, Chotrana 1, Ariana"
Banlieue Nord,225000.0,110.0,Jumia TN,L-TN-00122579,2045.4545454545455,"Ain zaghouen, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord"
Sousse,250000.0,180.0,Jumia TN,L-TN-00135143,1388.888888888889,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Chott Meriem, Akouda, Sousse"
Banlieue Nord,1050000.0,245.0,Jumia TN,L-TN-00142099,4285.714285714285,"Sidi Abdelaziz, Gammarth, Gammarth, Tunis et Banlieue Nord"
Sousse,195000.0,120.0,Jumia TN,L-TN-00137299,1625.0,"Hammam Sousse, Hammam Sousse, Sousse"
Ariana,315000.0,162.0,Jumia TN,L-TN-00092747,1944.4444444444443,"Cité Ennasr, Ariana"
Sousse,520000.0,192.0,Jumia TN,L-TN-00109790,2708.3333333333335,"khezema est, Khezama, Khezama, Sousse"
Banlieue Nord,501000.0,180.0,Jumia TN,L-TN-00149765,2783.3333333333335,"Carthage, Carthage, Tunis et Banlieue Nord"
Ariana,272000.0,129.0,Jumia TN,L-TN-00156925,2108.5271317829456,"Borj Louzir, La Soukra, Ariana"
Mannouba,130000.0,105.0,Jumia TN,L-TN-00132437,1238.095238095238,"Résidence Ben Mahmoud Den-Den El Agba, El Agba, La Manouba"
Sousse,180000.0,76.0,Jumia TN,L-TN-00107287,2368.4210526315787,"Tantana, Hammam Sousse, Sousse"
Ariana,180000.0,147.0,Jumia TN,L-TN-00154235,1224.4897959183672,"Ariana, Ariana, Ariana"
Nabeul,130000.0,65.0,Jumia TN,L-TN-00161281,2000.0,"Hammamet, Hammamet, Nabeul"
Sousse,280000.0,155.0,Jumia TN,L-TN-00139585,1806.4516129032259,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sahloul, Sahloul, Sousse"
Mahdia,414500.0,145.0,Jumia TN,L-TN-00096524,2858.6206896551726,"Zone Touristique, Mahdia, Mahdia"
Ariana,375000.0,156.0,Jumia TN,L-TN-00123928,2403.846153846154,"Chotrana 1, La Soukra, Ariana"
Djerba,296000.0,150.0,Jumia TN,L-TN-00095783,1973.3333333333333,"Tezdaine, Tezdaine, Midoun, Djerba"
Sousse,200000.0,115.0,Jumia TN,L-TN-00138570,1739.1304347826087,"Sahloul, Sahloul, Sousse"
Sousse,256000.0,160.0,Jumia TN,L-TN-00155351,1600.0,"Rue Hassen Ben Said 4051 khezema ouest sousse., Bouhssina, Sousse, Sousse"
Sousse,72000.0,50.0,Jumia TN,L-TN-00140088,1440.0,"Sousse Corniche, Sousse Corniche, Sousse"
Les Berges du Lac,590000.0,200.0,Jumia TN,L-TN-00115546,2950.0,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Ben arous,180000.0,112.0,Jumia TN,L-TN-00121120,1607.142857142857,"El Mourouj, Ben Arous - Tunis Sud"
Sousse,225000.0,120.0,Jumia TN,L-TN-00163405,1875.0,"Rue Hassen Ben Said 4051 khezema ouest sousse., El Kantaoui, Hammam Sousse, Sousse"
Les Berges du Lac,495000.0,135.0,Jumia TN,L-TN-00113977,3666.6666666666665,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Ariana,85000.0,90.0,Jumia TN,L-TN-00158630,944.4444444444445,"Ariana, Ariana, Ariana"
Nabeul,1300000.0,156.0,Jumia TN,L-TN-00101455,8333.333333333334,"Yasmine Hammamet, Hammamet, Nabeul"
Ben arous,133000.0,78.0,Jumia TN,L-TN-00113730,1705.128205128205,"Ezzahra Et Boumhel, Ezzahra, Ben Arous - Tunis Sud"
Ariana,199000.0,132.0,Jumia TN,L-TN-00105452,1507.5757575757575,"Ariana, Ariana, Ariana"
Nabeul,310000.0,100.0,Jumia TN,L-TN-00126537,3100.0,"Hammamet, Hammamet, Nabeul"
Ariana,148400.0,106.0,Jumia TN,L-TN-00148829,1400.0,"SIDI SALEH, Chotrana 1, La Soukra, Ariana"
Sousse,250000.0,142.0,Jumia TN,L-TN-00130594,1760.5633802816901,"Avenue Khezama, Avenue Khezama, Sousse"
Banlieue Nord,250000.0,168.0,Jumia TN,L-TN-00149853,1488.095238095238,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Banlieue Nord,293000.0,73.0,Jumia TN,L-TN-00114806,4013.698630136986,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Banlieue Nord,190000.0,76.0,Jumia TN,L-TN-00159862,2500.0,"Aouina, Aouina, Tunis et Banlieue Nord"
Banlieue Nord,240000.0,100.0,Jumia TN,L-TN-00163303,2400.0,"La Marsa, La Marsa, Tunis et Banlieue Nord"
Les Berges du Lac,650000.0,200.0,Jumia TN,L-TN-00126525,3250.0,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Sousse,105000.0,24.0,Jumia TN,L-TN-00126181,4375.0,"Chott Meriem, Akouda, Sousse"
Banlieue Nord,222000.0,73.0,Jumia TN,L-TN-00162282,3041.095890410959,"La Soukra, Douar Hicher , La Soukra, Tunis et Banlieue Nord"
Nabeul,82000.0,40.0,Jumia TN,L-TN-00164669,2050.0,"AGENCE GHALLEB HAMMAMET, Hammamet Nord, Hammamet, Nabeul"
Ariana,358000.0,170.0,Jumia TN,L-TN-00132324,2105.8823529411766,"Cité Ennasr, Cité Ennasr, Ariana"
Djerba,128400.0,130.0,Jumia TN,L-TN-00013720,987.6923076923077,"Midoune, Midoun, Djerba"
Nabeul,240000.0,150.0,Jumia TN,L-TN-00161783,1600.0,"Hammamet, Hammamet, Nabeul"
Sousse,255000.0,51.0,Jumia TN,L-TN-00150355,5000.0,"El Kantaoui, Hammam Sousse, Sousse"
Banlieue Nord,250000.0,101.0,Jumia TN,L-TN-00141522,2475.2475247524753,"Jardin L’Aouina, Tunis, Tunis et Banlieue Nord"
Banlieue Nord,240000.0,130.0,Jumia TN,L-TN-00145166,1846.1538461538462,"ennasr, beb souika Tunis., Tunis, Tunis et Banlieue Nord"
Nabeul,300000.0,153.0,Jumia TN,L-TN-00153611,1960.7843137254902,"Cité El Mrezga Sur la Route Mc 28 (En Face Clinique les Violettes), Hammamet Nord, Hammamet, Nabeul"
Banlieue Nord,270000.0,190.0,Jumia TN,L-TN-00137068,1421.0526315789473,"Aouina, Aouina, Tunis et Banlieue Nord"
Les Berges du Lac,950000.0,400.0,Jumia TN,L-TN-00126534,2375.0,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Sousse,168000.0,130.0,Jumia TN,L-TN-00156932,1292.3076923076924,"Rue Hassen Ben Said 4051 khezema ouest sousse., Hammam Sousse, Hammam Sousse, Sousse"
Les Berges du Lac,850000.0,197.0,Jumia TN,L-TN-00152482,4314.720812182741,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Sousse,155000.0,125.0,Jumia TN,L-TN-00150751,1240.0,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Hammam Sousse, Hammam Sousse, Sousse"
Nabeul,247215.0,106.0,Jumia TN,L-TN-00163765,2332.2169811320755,"Nabeul, Nabeul, Nabeul"
Sousse,1100000.0,250.0,Jumia TN,L-TN-00142521,4400.0,"Kantaoui, El Kantaoui, Hammam Sousse, Sousse"
Ariana,385000.0,159.0,Jumia TN,L-TN-00123924,2421.383647798742,"Chotrana 1, La Soukra, Ariana"
Banlieue Nord,178000.0,105.0,Jumia TN,L-TN-00148373,1695.2380952380952,"Ain Zaghouan, AIN Zaghouan, Tunis et Banlieue Nord"
Banlieue Nord,345000.0,113.0,Jumia TN,L-TN-00136243,3053.097345132743,"Les Jardins de carthage, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Sousse,140000.0,90.0,Jumia TN,L-TN-00114512,1555.5555555555557,"kantaoui, El Kantaoui, Hammam Sousse, Sousse"
Ariana,250000.0,171.0,Jumia TN,L-TN-00154525,1461.9883040935672,"Raoued, Raoued, Ariana"
Ariana,352000.0,132.0,Jumia TN,L-TN-00127529,2666.6666666666665,"Résidence Les Oeillets, Cité Ennasr, Cité Ennasr, Cité Ennasr, Ariana"
Banlieue Nord,150000.0,40.0,Jumia TN,L-TN-00156981,3750.0,"ennasr 2, ENNASR 2, ENNASR 2, Tunis et Banlieue Nord"
Ariana,4150000.0,250.0,Jumia TN,L-TN-00151318,16600.0,"borj louzir, Borj Louzir, La Soukra, Ariana"
Ariana,229000.0,122.0,Jumia TN,L-TN-00116546,1877.049180327869,"Résidance Kortoba, Jardins d'el Menzah, Mnihla, Ariana"
Banlieue Nord,270000.0,135.0,Jumia TN,L-TN-00164641,2000.0,"ennasr 2, ENNASR 2, ENNASR 2, Tunis et Banlieue Nord"
Banlieue Nord,400000.0,152.0,Jumia TN,L-TN-00152665,2631.5789473684213,"Lotissement les Résidences Du Parc, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord, Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Nabeul,240000.0,104.0,Jumia TN,L-TN-00155254,2307.6923076923076,"hammamet nord, Hammamet Nord, Hammamet, Nabeul"
Sousse,155000.0,125.0,Jumia TN,L-TN-00152636,1240.0,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Sousse Medina, Sousse, Sousse"
Les Berges du Lac,326304.0,102.0,Jumia TN,L-TN-00113951,3199.0588235294117,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord"
Banlieue Nord,270000.0,100.0,Jumia TN,L-TN-00164294,2700.0,"Douar Hicher , La Soukra, Tunis et Banlieue Nord"
Nabeul,2500.0,196.0,Jumia TN,L-TN-00155821,12.755102040816327,"Hammamet, Hammamet, Nabeul"
Banlieue Nord,424160.0,153.0,Jumia TN,L-TN-00133031,2772.2875816993464,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,239750.0,138.0,Jumia TN,L-TN-00152715,1737.3188405797102,"Ariana, Ariana, Ariana"
Ariana,110000.0,39.0,Jumia TN,L-TN-00156806,2820.5128205128203,"Cité Ennasr, Cité Ennasr, Ariana"
Ben arous,145000.0,102.0,Jumia TN,L-TN-00129978,1421.5686274509803,"Nouvelle Medina, Nouvelle Medina, Ben Arous - Tunis Sud"
Sousse,330000.0,123.0,Jumia TN,L-TN-00123118,2682.9268292682927,"Khezama, Khezama, Sousse"
Ariana,439000.0,184.0,Jumia TN,L-TN-00127505,2385.8695652173915,"Résidence Les Oeillets, Cité Ennasr, Cité Ennasr, Cité Ennasr, Ariana"
Sousse,370000.0,111.0,Jumia TN,L-TN-00115410,3333.3333333333335,"khezama est, Khezama, Khezama, Sousse"
Banlieue Nord,410000.0,156.0,Jumia TN,L-TN-00153940,2628.2051282051284,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ariana,223440.0,133.0,Jumia TN,L-TN-00154576,1680.0,"Borj Louzir, La Soukra, Ariana"
Nabeul,212000.0,106.0,Jumia TN,L-TN-00122179,2000.0,"Hammamet Sud, Hammamet, Nabeul"
Ariana,211190.0,121.0,Jumia TN,L-TN-00153318,1745.3719008264463,"Chotrana 1, Chotrana 1, Chotrana 1, Ariana"
Banlieue Nord,394872.0,144.0,Jumia TN,L-TN-00133030,2742.1666666666665,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord"
Ben arous,160000.0,100.0,Jumia TN,L-TN-00115304,1600.0,"Ben Arous, Ben Arous, Ben Arous - Tunis Sud"
Nabeul,140000.0,80.0,Jumia TN,L-TN-00145139,1750.0,"nabeul , nabeul Nabeul., Nabeul, Nabeul"
Ben arous,135000.0,120.0,Jumia TN,L-TN-00126239,1125.0,"Rades, Rades, Ben Arous - Tunis Sud"
Sousse,250000.0,148.0,Jumia TN,L-TN-00150670,1689.1891891891892,"Rue Hassen Ben Said 4051 khezema ouest sousse. prés de librairie SIAB, Hergla, Hergla, Sousse"
